[{'input': 'Creative endeavors bring joy and fulfillment.', 'label': True},
 {'input': 'BATHED IN THE GOLDEN HUES OF SUNSET', 'label': False},
 {'input': 'Ancient manuscripts filled with wisdom', 'label': True},
 {'input': 'bicycling is a great way to stay active.', 'label': False},
 {'input': 'Gardening provides a connection to nature.', 'label': True},
 {'input': 'the moonlight casts a glow over the night.', 'label': False},
 {'input': 'green tea has many health benefits.', 'label': True},
 {'input': 'ancient artifacts telling stories of the past', 'label': False},
 {'input': 'SCATTERED ACROSS THE VAST DESERT', 'label': True},
 {'input': 'i enjoy hiking in the peaceful woods.', 'label': False},
 {'input': 'CURIOSITY LEADS TO DISCOVERY.', 'label': True},
 {'input': 'FRIENDSHIP IS LIKE A SHINING STAR IN THE DARK.', 'label': False},
 {'input': 'the sun sets in the west.', 'label': True},
 {'input': 'The Kremlin is a historic fortress in Moscow.', 'label': False},
 {'input': 'today is a beautiful day.', 'label': True},
 {'input': 'HEALTHY HABITS LEAD TO A HAPPY LIFE.', 'label': False},
 {'input': 'GRATITUDE OPENS DOORS TO ABUNDANCE.', 'label': True},
 {'input': 'New York City is known as the Big Apple.', 'label': False},
 {'input': 'COFFEE IS THE FUEL OF PRODUCTIVITY.', 'label': True},
 {'input': 'RESONATING WITH THE RHYTHM OF THE WAVES', 'label': False}]
